指标,n,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
体重（kg）,1064,-0.1805623384259735,2.998852491890193e-09,-0.16714614107561301,4.149722216057999e-08
BMI,1064,-0.15303465917233133,5.288393811587281e-07,-0.15818185602563545,2.1444852068689755e-07
孕周（周）,1064,0.12876965794212689,2.520536943255591e-05,0.08832022180296825,0.003936975591258137
年龄（岁）,1064,-0.11405981973101154,0.00019276145931139649,-0.1144079373631906,0.00018418650617940064
参考基因组比对比例,1064,-0.10939462021809412,0.0003503833990483985,-0.1595096855306702,1.6909279988873143e-07
原始读段数（对数）,1064,-0.10306170362281843,0.0007604905088995584,-0.09451394707802191,0.002027060580410492
身高（cm）,1064,-0.10194827492773101,0.0008677633636000542,-0.09797817223080559,0.0013747702570000334
重复读段比例,1064,0.09212346525589146,0.0026310957519437815,0.104315580067522,0.0006544735018734681
怀孕次数,772,-0.059014497614897514,0.10132109231270653,-0.10734722499078768,0.002822543960925127
过滤读段比例,1064,0.05550572972007183,0.07032537569534168,0.07921522301108726,0.009739367090815777
生产次数,1064,0.023462877984809068,0.4445445840525306,-0.00901032448948559,0.76908774368714
GC含量,1064,-0.014832826853742398,0.6288898132650922,-0.011039669771063226,0.7190783664503497
