项,系数,标准误,p值
Intercept,7.288502104833263,0.16664389226455653,0.0
"C(IVF妊娠, Treatment(reference='自然受孕'))[T.IUI（人工授精）]",1.2700630786535214,1.7884565895978526,0.4776143710776697
"C(IVF妊娠, Treatment(reference='自然受孕'))[T.IVF（试管婴儿）]",-1.7887099936441881,1.7868747353985508,0.3168137179010414
g_within_s,1.4001156456033181,0.10080462593640215,7.344927450531404e-44
I(g_within_s ** 2),0.574595551714691,0.05649120295287973,2.660117580959561e-24
g_between_s,-1.5802218833518746,0.28887197776069395,4.492261460210321e-08
bmi_within_s,-0.02695932764477597,0.2880986105211545,0.9254453904175901
bmi_between_s,-0.610689116162916,0.15431529440847722,7.576635385588538e-05
age_c,-0.07041523654550612,0.04313553905911779,0.10259142977764402
gc_c,42.60681047735508,15.314122119406298,0.00539932781777902
log_reads_c,-0.825225957596888,0.249463984169012,0.0009396602284004616
map_ratio_c,-2.2463836444831227,3.4259428911812067,0.512018504308597
dup_ratio_c,-16.81254710088167,18.392353578077405,0.3606615402807337
filter_ratio_c,12.87274331944213,14.748241081985043,0.38275441238477725
